,구분,호선,,화장실,엘리베이터,리프트,안전발판,안전거리,충전,이전역 (왼쪽),다음역 (오른쪽),lon,lat,안전하차
7-대림,대림,7,2746,1,1,1,0,5,1,7-남구로,7-신풍,126.8958,37.49297,1-4 | 4-1 | 5-4 | 8-1
7-남구로,남구로,7,2747,1,0,1,1,6.5,0,7-가산디지털단지,7-대림,126.8872,37.48606,1-4 | 4-1 | 5-4 | 8-1
7-가산디지털단지,가산디지털단지,7,2748,1,1,1,1,8.5,0,7-철산,7-남구로,126.8823,37.48107,1-4 | 4-1 | 5-4 | 8-1
7-철산,철산,7,2749,1,1,0,1,9.5,0,7-광명사거리,7-가산디지털단지,126.8679,37.47605,1-4 | 4-1 | 5-4 | 8-1
7-광명사거리,광명사거리,7,2750,1,1,1,0,5.8,1,7-천왕,7-철산,126.8549,37.47925,1-4 | 4-1 | 5-4 | 8-1
7-천왕,천왕,7,2751,1,1,0,1,8.9,1,7-온수,7-광명사거리,126.8387,37.48664,1-4 | 4-1 | 5-4 | 8-1
1-온양온천,온양온천,1,1407,1,1,0,1,-,2,1-배당,1-신장,127.0032,36.78048,1-4 | 4-4 | 7-1 | 10-1
7-온수,온수,7,2752,1,1,1,0,6.4,1,7-까치울,7-천왕,126.8234,37.49226,1-4 | 4-1 | 5-4 | 8-1
7-고속터미널,고속터미널,7,4123,1,1,0,0,11.5,1,7-내방,7-반포,127.0049,37.50481,1-4 | 4-1 | 5-4 | 8-1
8-암사,암사,8,2811,1,1,0,0,5,0,8-천호,-,127.1276,37.55021,1-4 | 6-1
8-천호,천호,8,2812,1,1,1,0,6.5,1,8-강동구청,8-암사,127.1236,37.5384,1-4 | 6-1
8-강동구청,강동구청,8,2813,1,1,0,0,7.6,1,8-몽촌토성,8-천호,127.1205,37.53034,1-4 | 6-1
8-몽촌토성,몽촌토성,8,2814,1,1,0,1,9.9,1,8-잠실,8-강동구청,127.1124,37.51741,1-4 | 6-1
8-잠실,잠실,8,2815,1,1,1,1,9,1,8-석촌,8-몽촌토성,127.1022,37.51395,1-4 | 6-1
8-석촌,석촌,8,2816,1,1,0,0,8.9,1,8-송파,8-잠실,127.107,37.50543,1-4 | 6-1
8-송파,송파,8,2817,1,1,0,0,8.4,0,8-가락시장,8-석촌,127.1122,37.4997,1-4 | 6-1
8-가락시장,가락시장,8,2818,1,1,0,0,8.9,1,8-문정,8-송파,127.1182,37.49252,1-4 | 6-1
8-문정,문정,8,2819,1,1,0,0,8.6,1,8-장지,8-가락시장,127.1225,37.48586,1-4 | 6-1
8-장지,장지,8,2820,1,1,0,0,8.5,1,8-복정,8-문정,127.1262,37.4787,1-4 | 6-1
8-복정,복정,8,2821,1,1,1,0,8.7,1,8-남위례,8-장지,127.1267,37.47005,1-4 | 6-1
8-산성,산성,8,2822,1,1,0,1,9.3,1,8-남한산성입구,8-남위례,127.1499,37.45712,1-4 | 6-1
8-남한산성입구,남한산성입구,8,2823,1,1,1,0,8.7,1,8-단대오거리,8-산성,127.1598,37.45154,1-4 | 6-1
8-단대오거리,단대오거리,8,2824,1,1,0,1,9.9,1,8-신흥,8-남한산성입구,127.1569,37.44521,1-4 | 6-1
8-신흥,신흥,8,2825,1,1,0,0,8.9,1,8-수진,8-단대오거리,127.1476,37.44092,1-4 | 6-1
8-수진,수진,8,2826,1,1,1,0,9.1,1,8-모란,8-신흥,127.1407,37.43743,1-4 | 6-1
8-모란,모란,8,2827,1,1,1,1,9.4,1,-,8-수진,127.1291,37.43213,1-4 | 6-1
8-남위례,남위례,8,2828,1,1,0,0,-,1,8-산성,8-복정,127.139,37.46284,1-4 | 6-1
9-여의도,여의도,9,2527,1,1,0,1,5.7,0,9-국회의사당,9-샛강,126.9242,37.52162, 1-4
9-개화,개화,9,4101,1,1,0,0,5.1,0,-,9-김포공항,126.7982,37.57861, 1-4
9-김포공항,김포공항,9,4102,1,1,0,0,5.3,0,9-개화,9-공항시장,126.8011,37.56243, 1-4
9-공항시장,공항시장,9,4103,1,1,0,0,9.3,0,9-김포공항,9-신방화,126.8107,37.56373, 1-4
9-신방화,신방화,9,4104,1,1,0,0,7.9,0,9-공항시장,9-마곡나루,126.8166,37.56753, 1-4
9-마곡나루,마곡나루,9,4105,0,1,0,0,7.5,0,9-신방화,9-양천향교,126.8295,37.56734, 1-4
9-양천향교,양천향교,9,4106,1,1,0,0,7.4,0,9-마곡나루,9-가양,126.8413,37.56838, 1-4
9-가양,가양,9,4107,1,1,0,0,5.5,1,9-양천향교,9-증미,126.8545,37.56139, 1-4
9-증미,증미,9,4108,1,1,0,0,7.2,0,9-가양,9-등촌,126.8619,37.5574, 1-4
9-등촌,등촌,9,4109,1,1,0,0,7.4,0,9-증미,9-염창,126.8657,37.55063, 1-4
9-염창,염창,9,4110,1,1,0,0,8.3,0,9-등촌,9-신목동,126.8749,37.54694, 1-4
9-신목동,신목동,9,4111,1,1,0,0,7.8,0,9-염창,9-선유도,126.8831,37.54428, 1-4
9-선유도,선유도,9,4112,1,1,0,0,5.6,0,9-신목동,9-당산,126.8935,37.53802, 1-4
9-당산,당산,9,4113,1,1,0,0,5.3,0,9-선유도,9-국회의사당,126.9023,37.53438, 1-4
9-국회의사당,국회의사당,9,4114,1,1,0,0,7.9,0,9-당산,9-여의도,126.9179,37.52811, 1-4
9-샛강,샛강,9,4116,1,1,0,0,5.2,0,9-여의도,9-노량진,126.9284,37.51727, 1-4
9-노량진,노량진,9,4117,1,1,0,0,5.6,0,9-샛강,9-노들,126.9425,37.51422, 1-4
9-노들,노들,9,4118,1,1,0,0,7.3,0,9-노들,9-흑석,126.9532,37.51289, 1-4
9-흑석,흑석,9,4119,1,1,0,0,8.9,0,9-노들,9-동작,126.9637,37.50877, 1-4
9-동작,동작,9,4120,1,1,0,0,7.2,1,9-흑석,9-구반포,126.9793,37.50297, 1-4
9-구반포,구반포,9,4121,1,1,0,0,7.6,0,9-동작,9-신반포,126.9873,37.50136, 1-4
9-신반포,신반포,9,4122,1,1,0,0,7.4,0,9-구반포,9-고속터미널,126.9959,37.50342, 1-4
9-고속터미널,고속터미널,9,4123,1,1,0,0,5.3,1,9-신반포,9-사평,127.0049,37.50481, 1-4
9-사평,사평,9,4124,1,1,0,0,5.7,0,9-고속터미널,9-신논현,127.0153,37.50421, 1-4
9-신논현,신논현,9,4125,1,1,0,0,5.1,0,9-사평,9-언주,127.0251,37.5046, 1-4
9-언주,언주,9,4126,0,1,0,0,8.9,0,9-신논현,9-선정릉,127.0339,37.50729, 1-4
9-선정릉,선정릉,9,4127,0,1,0,0,7,0,9-언주,9-삼성중앙,127.0436,37.51098, 1-4
9-삼성중앙,삼성중앙,9,4128,0,1,0,0,9.4,0,9-선정릉,9-봉은사,127.0533,37.51301, 1-4
9-삼전,삼전,9,4131,0,1,0,0,-,1,9-종합운동장,9-석촌고분,-,-, 1-4
9-석촌고분,석촌고분,9,4132,0,1,0,0,-,1,9-삼전,9-석촌,-,-, 1-4
9-석촌,석촌,9,4133,1,1,0,0,-,1,9-석촌고분,9-송파나루,127.107,37.50543, 1-4
9-송파나루,송파나루,9,4134,0,1,0,0,-,1,9-석촌,9-한성백제,-,-, 1-4
9-한성백제,한성백제,9,4135,0,1,0,0,-,1,9-송파나루,9-올림픽공원,-,-, 1-4
9-올림픽공원,올림픽공원,9,4136,1,1,0,0,-,1,9-한성백제,9-둔촌오륜,-,-, 1-4
9-둔촌오륜,둔촌오륜,9,4137,0,1,0,0,-,0,9-올림픽공원,9-중앙보훈병원,-,-, 1-4
9-중앙보훈병원,중앙보훈병원,9,4138,0,1,0,0,-,1,9-둔촌오륜,-,-,-, 1-4
